Date, Open, High, Low, Close
9/30/2021,14582.6,14632.36,14444.3,14448.58
9/29/2021,14614.88,14676.62,14493.67,14512.44
9/28/2021,14787.21,14817.74,14539.88,14546.68
9/27/2021,14954.17,15003.16,14864.96,14969.97
9/24/2021,14961.61,15067.56,14946.57,15047.7
9/23/2021,14960,15085.44,14932.52,15052.24
9/22/2021,14800.59,14950.12,14767.02,14896.85
9/21/2021,14803.36,14847.03,14696.47,14746.4
9/20/2021,14758.14,14841.82,14530.07,14713.9
9/17/2021,15163.35,15166.56,14998.73,15043.97
9/16/2021,15120.09,15205.5,15047.14,15181.92
9/15/2021,15071.34,15174.38,14984.68,15161.53
9/14/2021,15168.45,15181.19,15008.3,15037.76
9/13/2021,15211.43,15215.44,15030.85,15105.58
9/10/2021,15332.92,15349.47,15111.31,15115.49
9/9/2021,15296.06,15352.38,15245.18,15248.25
9/8/2021,15360.35,15360.34,15206.61,15286.64
9/7/2021,15375.98,15403.44,15343.28,15374.33
9/3/2021,15313.41,15375.56,15283.67,15363.52
9/2/2021,15358.47,15380.07,15285.35,15331.18
9/1/2021,15308.98,15379.5,15302.11,15309.38
8/31/2021,15262.88,15278.96,15202.67,15259.24
8/30/2021,15165.94,15288.08,15165.12,15265.89
8/27/2021,14969.76,15144.48,14966.52,15129.5
8/26/2021,15025.17,15059.63,14939.56,14945.81
8/25/2021,15039.03,15059.43,15011.58,15041.86
8/24/2021,14978.14,15034.89,14965.53,15019.8
8/23/2021,14776.98,14963.47,14776.98,14942.65
8/20/2021,14571.53,14722.16,14571.53,14714.66
8/19/2021,14423.16,14610.76,14423.16,14541.79
8/18/2021,14636.24,14697.25,14516.3,14525.91
8/17/2021,14670.56,14716.94,14550.88,14656.18
8/16/2021,14771.53,14794.68,14610.02,14793.76
8/13/2021,14825.07,14850.61,14797.22,14822.9
8/12/2021,14751.36,14824.31,14698.94,14816.26
8/11/2021,14834.38,14842.5,14692.41,14765.14
8/10/2021,14887.75,14894.61,14754.48,14788.09
8/9/2021,14855.75,14883.81,14802.69,14860.18
8/6/2021,14864.22,14890.18,14788.59,14835.76
8/5/2021,14794.08,14896.47,14776.03,14895.12
8/4/2021,14747.21,14812.38,14734.12,14780.53
8/3/2021,14714,14762.6,14584.09,14761.29
